itemId;categoryId
139578;1096
417975;1096
291805;1096
396921;1096
159257;1096
186179;1096
487153;1096
364033;1096
368248;1096
58979;1096
467174;1096
511027;1096
124259;1096
689021;1096
26329;1096
462282;1096
354605;1096
539116;1096
42044;1096
32737;1096
74884;1096
53363;1096
53387;1096
272866;1096
404209;1096
448519;1096
43450;1096
408728;1096
102956;1096
246128;1096
88998;1096
123560;1096
12708;1096
46795;1096
79255;1096
5939;1096
123900;1096
123920;1096
228084;1096
36774;1096
129020;1096
37018;1096
107633;1096
90921;1096
37044;1096
15;1096
25962;1096
80421;1096
228120;1096
107888;1096
162767;1096
91385;1096
417974;1096
80702;1096
15240;1096
70243;1096
109015;1096
109032;1096
20904;1096
81129;1096
92584;1096
134085;1096
168290;1096
92783;1096
81344;1096
215388;1096
197789;1096
15475;1096
15515;1096
93264;1096
26356;1096
93339;1096
93341;1096
197821;1096
129311;1096
93726;1096
93747;1096
71082;1096
110461;1096
30883;1096
21256;1096
94094;1096
71312;1096
94167;1096
94174;1096
49655;1096
21315;1096
8441;1096
110882;1096
31021;1096
49718;1096
134232;1096
94355;1096
164921;1096
60705;1096
39008;1096
49830;1096
94691;1096
21466;1096
8719;1096
217293;1096
1389;1096
8897;1096
8944;1096
31473;1096
26884;1096
21768;1096
21769;1096
72448;1096
50851;1096
31600;1096
96415;1096
294191;1096
127249;1096
97036;1096
113786;1096
72823;1096
51230;1096
40525;1096
97222;1096
62226;1096
249777;1096
73010;1096
97634;1096
83964;1096
32035;1096
40857;1096
219565;1096
97957;1096
114656;1096
73312;1096
98173;1096
27255;1096
51801;1096
62858;1096
2280;1096
32242;1096
73671;1096
9841;1096
84419;1096
2340;1096
210254;1096
84426;1096
27350;1096
52085;1096
198158;1096
84522;1096
348976;1096
2456;1096
22439;1096
32420;1096
22459;1096
27459;1096
187783;1096
2582;1096
74154;1096
276988;1096
125016;1096
74161;1096
116363;1096
84876;1096
116366;1096
27524;1096
27548;1096
63531;1096
63532;1096
99877;1096
99879;1096
52624;1096
2711;1096
42004;1096
42033;1096
2828;1096
74479;1096
42080;1096
100329;1096
161757;1096
63768;1096
211309;1096
42118;1096
42119;1096
100353;1096
100367;1096
279533;1096
32793;1096
74631;1096
2933;1096
10365;1096
32868;1096
85381;1096
117297;1096
53071;1096
85439;1096
22819;1096
3015;1096
117521;1096
10494;1096
64112;1096
101071;1096
42486;1096
85602;1096
117686;1096
53273;1096
74972;1096
64219;1096
33061;1096
27792;1096
85786;1096
85801;1096
33112;1096
101382;1096
42755;1096
3253;1096
64393;1096
85896;1096
85905;1096
53557;1096
64448;1096
85934;1096
53576;1096
85936;1096
33203;1096
101583;1096
42845;1096
85954;1096
3318;1096
33228;1096
17547;1096
53637;1096
85991;1096
42887;1096
42900;1096
101680;1096
86090;1096
43016;1096
75452;1096
86113;1096
